Alpha,Epoch,Train Accuracy,Test Accuracy
0.001,80,0.8477018633540373,0.8502541070795414
0.001,81,0.8473291925465839,0.850372296418863
0.001,82,0.8473913043478261,0.8508450537761494
0.001,83,0.8475155279503106,0.8506086750975062
0.001,84,0.8480745341614907,0.8502541070795414
0.001,85,0.847639751552795,0.8501359177402198
0.001,86,0.8483850931677018,0.8495449710436118
0.001,87,0.8465217391304348,0.8490722136863255
0.001,88,0.8480124223602484,0.8502541070795414
0.001,89,0.847639751552795,0.8496631603829334
0.001,90,0.8463975155279503,0.8493085923649687
0.001,91,0.8484472049689441,0.8494267817042903
0.001,92,0.8469565217391304,0.8496631603829334
0.001,93,0.847888198757764,0.8487176456683607
0.001,94,0.8469565217391304,0.8495449710436118
0.001,95,0.8470807453416149,0.8493085923649687
0.001,96,0.8467701863354037,0.8501359177402198
0.001,97,0.8483850931677018,0.8493085923649687
0.001,98,0.8472670807453416,0.8488358350076823
0.001,99,0.8475155279503106,0.8507268644368278
0.001,100,0.8475155279503106,0.8506086750975062
0.01,1,0.8479503105590062,0.8485994563290391
0.01,2,0.844472049689441,0.8467084268998937
0.01,3,0.8461490683229813,0.8496631603829334
0.01,4,0.8427950310559006,0.8463538588819288
0.01,5,0.8466459627329193,0.8487176456683607
0.01,6,0.8472049689440994,0.848363077650396
0.01,7,0.8458385093167702,0.8459992908639641
0.01,8,0.8472670807453416,0.8487176456683607
0.01,9,0.8452173913043478,0.8463538588819288
0.01,10,0.8482608695652174,0.8504904857581846
0.01,11,0.844223602484472,0.8476539416144664
0.01,12,0.8460248447204969,0.8481266989717527
0.01,13,0.8460248447204969,0.8459992908639641
0.01,14,0.8472670807453416,0.8474175629358232
0.01,15,0.8457763975155279,0.8475357522751448
0.01,16,0.8477639751552795,0.8474175629358232
0.01,17,0.8459627329192546,0.8463538588819288
0.01,18,0.8480745341614907,0.8484812669897175
0.01,19,0.8445341614906833,0.8430445573809242
0.01,20,0.8463354037267081,0.8475357522751448
0.01,21,0.8432298136645963,0.8448173974707481
0.01,22,0.8463354037267081,0.8472993735965016
0.01,23,0.847639751552795,0.8482448883110744
0.01,24,0.8473291925465839,0.848954024347004
0.01,25,0.8483850931677018,0.8472993735965016
0.01,26,0.8460248447204969,0.8481266989717527
0.01,27,0.8470186335403727,0.8472993735965016
0.01,28,0.8467701863354037,0.847772130953788
0.01,29,0.8477018633540373,0.8493085923649687
0.01,30,0.8479503105590062,0.8494267817042903
0.01,31,0.8463354037267081,0.84718118425718
0.01,32,0.847639751552795,0.8507268644368278
0.01,33,0.8484472049689441,0.848363077650396
0.01,34,0.8461490683229813,0.8481266989717527
0.01,35,0.8452173913043478,0.8449355868100697
0.01,36,0.8462111801242236,0.8451719654887129
0.01,37,0.847639751552795,0.8485994563290391
0.01,38,0.8455900621118012,0.8487176456683607
0.01,39,0.8450310559006211,0.8454083441673561
0.01,40,0.8473291925465839,0.8491904030256471
0.01,41,0.8475776397515528,0.8482448883110744
0.01,42,0.847639751552795,0.8487176456683607
0.01,43,0.846832298136646,0.8458811015246425
0.01,44,0.847639751552795,0.848363077650396
0.01,45,0.8451552795031055,0.8474175629358232
0.01,46,0.8474534161490683,0.8485994563290391
0.01,47,0.8490062111801242,0.847772130953788
0.01,48,0.8474534161490683,0.8468266162392152
0.01,49,0.8491925465838509,0.8487176456683607
0.01,50,0.8474534161490683,0.8493085923649687
0.01,51,0.8447826086956521,0.8454083441673561
0.01,52,0.8481987577639751,0.8506086750975062
0.01,53,0.8485714285714285,0.8485994563290391
0.01,54,0.8473291925465839,0.8470629949178584
0.01,55,0.8478260869565217,0.8491904030256471
0.01,56,0.8456521739130435,0.8470629949178584
0.01,57,0.8475155279503106,0.8484812669897175
0.01,58,0.8418633540372671,0.8444628294527834
0.01,59,0.8480124223602484,0.8495449710436118
0.01,60,0.8482608695652174,0.848363077650396
0.01,61,0.8485093167701864,0.8502541070795414
0.01,62,0.8475155279503106,0.8481266989717527
0.01,63,0.8473291925465839,0.8463538588819288
0.01,64,0.8449068322981367,0.8461174802032857
0.01,65,0.8481987577639751,0.8480085096324311
0.01,66,0.8481987577639751,0.8485994563290391
0.01,67,0.8477639751552795,0.8467084268998937
0.01,68,0.8472049689440994,0.848954024347004
0.01,69,0.8470807453416149,0.8496631603829334
0.01,70,0.8484472049689441,0.8478903202931095
0.01,71,0.8473291925465839,0.8502541070795414
0.01,72,0.8460248447204969,0.8469448055785368
0.01,73,0.8457763975155279,0.848363077650396
0.01,74,0.8481987577639751,0.8500177284008983
0.01,75,0.8454037267080745,0.8469448055785368
0.01,76,0.8464596273291926,0.8493085923649687
0.01,77,0.8464596273291926,0.8446992081314265
0.01,78,0.8475155279503106,0.8480085096324311
0.01,79,0.8471428571428572,0.8500177284008983
0.01,80,0.8481987577639751,0.8475357522751448
0.01,81,0.8414285714285714,0.8438718827561754
0.01,82,0.8472049689440994,0.8478903202931095
0.01,83,0.8436645962732919,0.8450537761493914
0.01,84,0.8451552795031055,0.8465902375605721
0.01,85,0.8422981366459628,0.8442264507741402
0.01,86,0.8467701863354037,0.8467084268998937
0.01,87,0.8470807453416149,0.850372296418863
0.01,88,0.8485093167701864,0.8496631603829334
0.01,89,0.8450310559006211,0.84718118425718
0.01,90,0.8359006211180124,0.8366623330575582
0.01,91,0.8483850931677018,0.8488358350076823
0.01,92,0.8465217391304348,0.8476539416144664
0.01,93,0.845527950310559,0.8467084268998937
0.01,94,0.8457763975155279,0.8475357522751448
0.01,95,0.8461490683229813,0.8448173974707481
0.01,96,0.8475155279503106,0.8480085096324311
0.01,97,0.8451552795031055,0.8488358350076823
0.01,98,0.8489440993788819,0.8467084268998937
0.01,99,0.8485714285714285,0.8476539416144664
0.01,100,0.8463354037267081,0.8494267817042903
0.1,1,0.8386335403726708,0.8446992081314265
0.1,2,0.8164596273291925,0.8201158255525351
0.1,3,0.7593788819875776,0.7610211558917386
0.1,4,0.8324844720496895,0.8303982980735137
0.1,5,0.8245962732919254,0.8315801914667297
0.1,6,0.8305590062111802,0.8350076823070559
0.1,7,0.8271428571428572,0.824252452428791
0.1,8,0.7770186335403727,0.7776858527360833
0.1,9,0.8288198757763975,0.8319347594846945
0.1,10,0.8264596273291925,0.8286254579836899
0.1,11,0.8232298136645962,0.8289800260016547
0.1,12,0.8424844720496895,0.8459992908639641
0.1,13,0.8306211180124223,0.8373714690934878
0.1,14,0.8319875776397515,0.8282708899657251
0.1,15,0.8253416149068323,0.8277981326084387
0.1,16,0.8377639751552795,0.8368987117362013
0.1,17,0.8423602484472049,0.8450537761493914
0.1,18,0.837639751552795,0.8372532797541662
0.1,19,0.8145341614906833,0.8101879210495213
0.1,20,0.833416149068323,0.8366623330575582
0.1,21,0.8231055900621118,0.8269708072331876
0.1,22,0.8162111801242236,0.8173974707481385
0.1,23,0.831304347826087,0.8309892447701217
0.1,24,0.8349068322981367,0.8363077650395935
0.1,25,0.8296273291925466,0.8264980498759011
0.1,26,0.8314285714285714,0.8352440609856991
0.1,27,0.8385714285714285,0.8346531142890912
0.1,28,0.8285714285714286,0.8295709726982626
0.1,29,0.8380745341614907,0.8355986290036639
0.1,30,0.8257142857142857,0.8296891620375842
0.1,31,0.8354658385093168,0.8407989599338139
0.1,32,0.8418012422360248,0.8412717172911004
0.1,33,0.8404968944099379,0.8411535279517788
0.1,34,0.7518633540372671,0.757711854390734
0.1,35,0.804223602484472,0.802151045975653
0.1,36,0.8390062111801242,0.8435173147382106
0.1,37,0.8372670807453416,0.8404443919158492
0.1,38,0.8405590062111801,0.8437536934168538
0.1,39,0.8353416149068323,0.8393806878619549
0.1,40,0.811304347826087,0.8039238860654769
0.1,41,0.8131677018633541,0.8157428199976362
0.1,42,0.8411180124223603,0.8443446401134618
0.1,43,0.8266459627329192,0.8287436473230114
0.1,44,0.8399378881987578,0.8411535279517788
0.1,45,0.8252173913043478,0.8305164874128353
0.1,46,0.8365217391304348,0.8353622503250206
0.1,47,0.8267701863354038,0.830043730055549
0.1,48,0.833975155279503,0.8325257061813024
0.1,49,0.8383229813664597,0.8407989599338139
0.1,50,0.8366459627329192,0.843990072095497
0.1,51,0.7907453416149068,0.7925777094906039
